"filename", "language", "JavaScript", "JavaScript React", "Less", "JSON", "XML", "HTML", "comment", "blank", "total"
"/Users/ivancjz99/fmg-management/Phoenix-management/src/pages/GoodsManagement/GoodsTags/GoodsSaleTags.jsx", "JavaScript React", 0, 271, 0, 0, 0, 0, 2, 19, 292
"/Users/ivancjz99/fmg-management/Phoenix-management/src/pages/GoodsManagement/GoodsTags/GoodsTagsIndex.jsx", "JavaScript React", 0, 33, 0, 0, 0, 0, 0, 7, 40
"/Users/ivancjz99/fmg-management/Phoenix-management/src/pages/IndexPages/Index.jsx", "JavaScript React", 0, 80, 0, 0, 0, 0, 0, 4, 84
"/Users/ivancjz99/fmg-management/Phoenix-management/src/pages/LoginPage.less", "Less", 0, 0, 7, 0, 0, 0, 0, 0, 7
"/Users/ivancjz99/fmg-management/Phoenix-management/src/pages/Test/test.jsx", "JavaScript React", 0, 87, 0, 0, 0, 0, 34, 16, 137
"/Users/ivancjz99/fmg-management/Phoenix-management/src/pages/document.ejs", "HTML", 0, 0, 0, 0, 0, 199, 0, 16, 215
"/Users/ivancjz99/fmg-management/Phoenix-management/src/pages/loginPage.jsx", "JavaScript React", 0, 24, 0, 0, 0, 0, 0, 4, 28
"/Users/ivancjz99/fmg-management/Phoenix-management/src/pages/settings_controls/icon_setting.jsx", "JavaScript React", 0, 339, 0, 0, 0, 0, 2, 10, 351
"/Users/ivancjz99/fmg-management/Phoenix-management/src/pages/settings_controls/rolling_picture_index.jsx", "JavaScript React", 0, 18, 0, 0, 0, 0, 0, 3, 21
"/Users/ivancjz99/fmg-management/Phoenix-management/src/pages/settings_controls/rolling_picture_setting.jsx", "JavaScript React", 0, 469, 0, 0, 0, 0, 2, 15, 486
"/Users/ivancjz99/fmg-management/Phoenix-management/src/pages/user/login/components/Login/LoginContext.jsx", "JavaScript React", 0, 3, 0, 0, 0, 0, 0, 2, 5
"/Users/ivancjz99/fmg-management/Phoenix-management/src/pages/user/login/components/Login/LoginItem.jsx", "JavaScript React", 0, 120, 0, 0, 0, 0, 0, 20, 140
"/Users/ivancjz99/fmg-management/Phoenix-management/src/pages/user/login/components/Login/LoginSubmit.jsx", "JavaScript React", 0, 14, 0, 0, 0, 0, 0, 4, 18
"/Users/ivancjz99/fmg-management/Phoenix-management/src/pages/user/login/components/Login/LoginTab.jsx", "JavaScript React", 0, 29, 0, 0, 0, 0, 0, 7, 36
"/Users/ivancjz99/fmg-management/Phoenix-management/src/pages/user/login/components/Login/index.jsx", "JavaScript React", 0, 90, 0, 0, 0, 0, 0, 6, 96
"/Users/ivancjz99/fmg-management/Phoenix-management/src/pages/user/login/components/Login/index.less", "Less", 0, 0, 41, 0, 0, 0, 0, 9, 50
"/Users/ivancjz99/fmg-management/Phoenix-management/src/pages/user/login/components/Login/map.jsx", "JavaScript React", 0, 71, 0, 0, 0, 0, 0, 2, 73
"/Users/ivancjz99/fmg-management/Phoenix-management/src/pages/user/login/index.jsx", "JavaScript React", 0, 95, 0, 0, 0, 0, 0, 10, 105
"/Users/ivancjz99/fmg-management/Phoenix-management/src/pages/user/login/style.less", "Less", 0, 0, 40, 0, 0, 0, 0, 6, 46
"/Users/ivancjz99/fmg-management/Phoenix-management/src/service-worker.js", "JavaScript", 35, 0, 0, 0, 0, 0, 29, 7, 71
"/Users/ivancjz99/fmg-management/Phoenix-management/src/services/Bill/bills_list.js", "JavaScript", 65, 0, 0, 0, 0, 0, 4, 3, 72
"/Users/ivancjz99/fmg-management/Phoenix-management/src/services/Course/course_list.js", "JavaScript", 42, 0, 0, 0, 0, 0, 8, 2, 52
"/Users/ivancjz99/fmg-management/Phoenix-management/src/services/Course/course_tags.js", "JavaScript", 67, 0, 0, 0, 0, 0, 10, 3, 80
"/Users/ivancjz99/fmg-management/Phoenix-management/src/services/CreateGoods/CreateGoods.js", "JavaScript", 48, 0, 0, 0, 0, 0, 0, 5, 53
"/Users/ivancjz99/fmg-management/Phoenix-management/src/services/GoodsTags/GoodClassTags.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 2, 40
"/Users/ivancjz99/fmg-management/Phoenix-management/src/services/GoodsTags/GoodSaleTags.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 2, 34
"/Users/ivancjz99/fmg-management/Phoenix-management/src/services/GoodsTags/GoodsAreaTags.js", "JavaScript", 33, 0, 0, 0, 0, 0, 1, 3, 37
"/Users/ivancjz99/fmg-management/Phoenix-management/src/services/GoodsTags/GoodsModesList.js", "JavaScript", 33, 0, 0, 0, 0, 0, 0, 2, 35
"/Users/ivancjz99/fmg-management/Phoenix-management/src/services/SettingsControls/icon_controls.js", "JavaScript", 38, 0, 0, 0, 0, 0, 1, 3, 42
"/Users/ivancjz99/fmg-management/Phoenix-management/src/services/SettingsControls/rolling_controls.js", "JavaScript", 38, 0, 0, 0, 0, 0, 1, 3, 42
"/Users/ivancjz99/fmg-management/Phoenix-management/src/services/login.js", "JavaScript", 0, 0, 0, 0, 0, 0, 10, 2, 12
"/Users/ivancjz99/fmg-management/Phoenix-management/src/services/user.js", "JavaScript", 0, 0, 0, 0, 0, 0, 10, 2, 12
"/Users/ivancjz99/fmg-management/Phoenix-management/src/style/Draw.less", "Less", 0, 0, 26, 0, 0, 0, 0, 4, 30
"/Users/ivancjz99/fmg-management/Phoenix-management/src/style/GoodsAddEditor.less", "Less", 0, 0, 77, 0, 0, 0, 0, 5, 82
"/Users/ivancjz99/fmg-management/Phoenix-management/src/style/GoodsTagsIndex.less", "Less", 0, 0, 18, 0, 0, 0, 0, 0, 18
"/Users/ivancjz99/fmg-management/Phoenix-management/src/utils/Authorized.js", "JavaScript", 9, 0, 0, 0, 0, 0, 6, 5, 20
"/Users/ivancjz99/fmg-management/Phoenix-management/src/utils/Course/course_details_drawer.jsx", "JavaScript React", 0, 693, 0, 0, 0, 0, 5, 23, 721
"/Users/ivancjz99/fmg-management/Phoenix-management/src/utils/Course/course_table.js", "JavaScript", 7, 0, 0, 0, 0, 0, 8, 2, 17
"/Users/ivancjz99/fmg-management/Phoenix-management/src/utils/DataStore/bills_data_set.js", "JavaScript", 50, 0, 0, 0, 0, 0, 0, 1, 51
"/Users/ivancjz99/fmg-management/Phoenix-management/src/utils/DataStore/course_table.jsx", "JavaScript React", 0, 49, 0, 0, 0, 0, 1, 2, 52
"/Users/ivancjz99/fmg-management/Phoenix-management/src/utils/DataStore/data_goods.js", "JavaScript", 61, 0, 0, 0, 0, 0, 0, 3, 64
"/Users/ivancjz99/fmg-management/Phoenix-management/src/utils/DataStore/icon_set.js", "JavaScript", 4, 0, 0, 0, 0, 0, 8, 2, 14
"/Users/ivancjz99/fmg-management/Phoenix-management/src/utils/Drawer/delivery_saving.jsx", "JavaScript React", 0, 136, 0, 0, 0, 0, 1, 7, 144
"/Users/ivancjz99/fmg-management/Phoenix-management/src/utils/Drawer/details_drawer.jsx", "JavaScript React", 0, 359, 0, 0, 0, 0, 6, 7, 372
"/Users/ivancjz99/fmg-management/Phoenix-management/src/utils/Express/Express.js", "JavaScript", 40, 0, 0, 0, 0, 0, 22, 3, 65
"/Users/ivancjz99/fmg-management/Phoenix-management/src/utils/Express/mock_data.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 1, 21
"/Users/ivancjz99/fmg-management/Phoenix-management/src/utils/Layout/basic_layout.jsx", "JavaScript React", 0, 49, 0, 0, 0, 0, 9, 6, 64
"/Users/ivancjz99/fmg-management/Phoenix-management/src/utils/RichTextEditor.jsx", "JavaScript React", 0, 167, 0, 0, 0, 0, 38, 12, 217
"/Users/ivancjz99/fmg-management/Phoenix-management/src/utils/Table/withPure.js", "JavaScript", 13, 0, 0, 0, 0, 0, 1, 3, 17
"/Users/ivancjz99/fmg-management/Phoenix-management/src/utils/Token.js", "JavaScript", 7, 0, 0, 0, 0, 0, 8, 3, 18
"/Users/ivancjz99/fmg-management/Phoenix-management/src/utils/adjust_picture.js", "JavaScript", 7, 0, 0, 0, 0, 0, 15, 1, 23
"/Users/ivancjz99/fmg-management/Phoenix-management/src/utils/authority.js", "JavaScript", 43, 0, 0, 0, 0, 0, 3, 11, 57
"/Users/ivancjz99/fmg-management/Phoenix-management/src/utils/noused_code_store.jsx", "JavaScript React", 0, 82, 0, 0, 0, 0, 12, 4, 98
"/Users/ivancjz99/fmg-management/Phoenix-management/src/utils/pictureUploader/pictureUploader.jsx", "JavaScript React", 0, 66, 0, 0, 0, 0, 0, 10, 76
"/Users/ivancjz99/fmg-management/Phoenix-management/src/utils/pictureUploader/pictureUploader.less", "Less", 0, 0, 8, 0, 0, 0, 0, 1, 9
"/Users/ivancjz99/fmg-management/Phoenix-management/src/utils/pictureUploader/picture_cutting.jsx", "JavaScript React", 0, 11, 0, 0, 0, 0, 0, 3, 14
"/Users/ivancjz99/fmg-management/Phoenix-management/src/utils/request.js", "JavaScript", 41, 0, 0, 0, 0, 0, 11, 6, 58
"/Users/ivancjz99/fmg-management/Phoenix-management/src/utils/utils.js", "JavaScript", 44, 0, 0, 0, 0, 0, 7, 9, 60
"/Users/ivancjz99/fmg-management/Phoenix-management/src/utils/utils.less", "Less", 0, 0, 14, 0, 0, 0, 2, 1, 17
"/Users/ivancjz99/fmg-management/Phoenix-management/src/utils/utils.test.js", "JavaScript", 115, 0, 0, 0, 0, 0, 0, 2, 117
"Total", "-", 3120, 12208, 729, 22, 1, 199, 486, 983, 17748
